Quarter,Therapeutic_Area,Product,Revenue_M,Units_Sold_K,Market_Share_Pct
Q1 2026,Oncology,Zelvorix,890,145,23.5
Q1 2026,Immunology,Revumab,620,210,18.2
Q1 2026,Neurology,Cognivex,450,89,12.8
Q1 2026,Cardiovascular,Cardivant,380,320,9.4
Q2 2026,Oncology,Zelvorix,945,152,24.1
Q2 2026,Immunology,Revumab,685,228,19.0
Q2 2026,Neurology,Cognivex,510,98,13.5
Q2 2026,Cardiovascular,Cardivant,395,335,9.7
Q3 2026,Oncology,Zelvorix,1020,165,25.3
Q3 2026,Immunology,Revumab,720,241,19.8
Q3 2026,Neurology,Cognivex,535,104,14.1
Q3 2026,Cardiovascular,Cardivant,410,348,10.1
